La el DA0FS0 0.98926
última último AO0FS00 1
pregunta pregunta NCFS000 0.694581
se se P00CN00 0.494509
formuló formular VMIS3S0 1
por por SP 1
primera 1 AO0FS00 0.995242
vez vez NCFS000 1
, , Fc 1
medio medio AQ0MS00 0.705097
en en SP 1
broma broma NCFS000 0.953488
, , Fc 1
el el DA0MS0 1
21_de_mayo_de_2061 [??:21/5/2061:??.??:??] W 1
, , Fc 1
en en SP 1
momentos momento NCMP000 1
en en SP 1
que que CS 0.449861
la el DA0FS0 0.98926
humanidad humanidad NCFS000 1
( ( Fpa 1
también también RG 1
por por SP 1
primera 1 AO0FS00 0.995242
vez vez NCFS000 1
) ) Fpt 1
se se P00CN00 0.494509
bañó bañar VMIS3S0 1
en en SP 1
luz luz NCFS000 1
. . Fp 1

La el DA0FS0 0.98926
pregunta pregunta NCFS000 0.694581
llegó llegar VMIS3S0 1
como como CS 0.967153
resultado resultado NCMS000 0.924877
de de SP 0.999961
una uno DI0FS0 0.951973
apuesta apuesta NCFS000 0.672535
por por SP 1
cinco_dólares $_USD:5 Zm 1
hecha hacer VMP00SF 1
entre entre SP 0.980341
dos 2 Z 0.999868
hombres hombre NCMP000 1
que que PR0CN00 0.550139
bebían beber VMII3P0 1
cerveza cerveza NCFS000 1
, , Fc 1
y y CC 0.999989
sucedió suceder VMIS3S0 1
de de SP 0.999961
esta este DD0FS0 0.978817
manera manera NCFS000 1
: : Fd 1
Alexander_Adell alexander_adell NP00000 1
y y CC 0.999989
Bertram_Lupov bertram_lupov NP00000 1
eran ser VSII3P0 0.998418
dos 2 Z 0.999868
de de SP 0.999961
los el DA0MP0 0.992728
fieles fiel AQ0CP00 0.511294
asistentes asistente NCCP000 0.743902
de de SP 0.999961
Multivac multivac NP00000 1
. . Fp 1

Dentro_de dentro_de SP 1
las el DA0FP0 0.988184
dimensiones dimensión NCFP000 0.98913
de de SP 0.999961
lo el DA00S0 0.665165
humano humano AQ0MS00 0.962848
sabían saber VMII3P0 1
qué qué PT00000 0.712513
era ser VSII3S0 0.491317
lo el DA00S0 0.665165
que que PR0CN00 0.550139
pasaba pasar VMII3S0 0.620002
