A a SP 0.998775
la el DA0FS0 0.98926
memoria memoria NCFS000 1
de de SP 0.999961
don_Jacinto_Cúcaro don_jacinto_cúcaro NP00000 1
, , Fc 1
que que PR0CN00 0.550139
en en SP 1
las el DA0FP0 0.988184
clases clase NCFP000 1
de de SP 0.999961
pedagogía pedagogía NCFS000 1
de de SP 1
el el DA0MS0 1
normal normal AQ0CS00 0.995283
« « Fra 1
Mariano_Acosta mariano_acosta NP00000 1
» » Frc 1
, , Fc 1
allá allá RG 1
por por SP 1
el el DA0MS0 1
año_30 [??:??/??/30:??.??:??] W 1
, , Fc 1
nos nos PP1CP00 0.810258
contaba contar VMII3S0 0.65
las el DA0FP0 0.988184
peleas pelea NCFP000 0.97619
de de SP 0.999961
Suárez_Qué suárez_qué NP00000 1
le le PP3CSD0 1
vas ir VMIP2S0 0.310245
a a SP 0.998775
hacer hacer VMN0000 1
, , Fc 1
ñato ñato AQ0MS00 1
, , Fc 1
cuando cuando CS 0.86298
estás estar VMIP2S0 0.980769
abajo abajo RG 0.986111
todos todo PI0MP00 0.293032
te te PP2CS00 0.749042
fajan fajar VMIP3P0 1
. . Fp 1

Todos todo PI0MP00 0.293032
, , Fc 1
che che I 1
, , Fc 1
hasta hasta SP 0.922749
el el DA0MS0 1
más más RG 0.99993
maula maula NCFS000 1
. . Fp 1

Te te PP2CS00 0.749042
sacuden sacudir VMIP3P0 1
contra contra SP 0.984245
las el DA0FP0 0.988184
sogas soga NCFP000 1
, , Fc 1
te te PP2CS00 0.749042
encajan encajar VMIP3P0 1
la el DA0FS0 0.98926
biaba biabar VMIP3S0 0.989241
. . Fp 1

Andá andá NP00000 1
, , Fc 1
andá andá NCFS000 1
, , Fc 1
qué qué PT00000 0.712513
venís venir VMIP2P0 1
con con SP 1
consuelos consuelo NCMP000 1
vos vos PP2CS0P 1
. . Fp 1

Te te PP2CS00 0.749042
conozco conocer VMIP1S0 1
, , Fc 1
mascarita mascarita NCFS000 1
. . Fp 1

Cada cada DI0CS0 1
vez vez NCFS000 1
que que PR0CN00 0.550139
pienso pensar VMIP1S0 0.991803
en en SP 1
eso ese PD00S00 1
, , Fc 1
salí salir VMIS1S0 1
de de SP 0.999961
ahí ahí RG 1
, , Fc 1
salí salir VMIS1S0 1
. . Fp 1

Vos vos PP2CS0P 1
te te PP2CS00 0.749042
creés creés RG 0.54271
que que CS 0.449861
yo yo PP1CSN0 1
me me PP1CS00 0.755196
desespero desesperar VMIP1S0 0.310274
, , Fc 1
lo el DA00S0 0.665165
que que PR0CN00 0.550139
pasa pasar VMIP3S0 0.991758
es ser VSIP3S0 1
que que CS 0.449861
no no RN 0.999297
doy dar VMIP1S0 1
más más RG 0.99993
aquí aquí RG 1
tumbado tumbar VMP00SM 1
todo todo DI0MS0 0.6662
el el DA0MS0 1
día día NCMS000 1
. . Fp 1

Pucha pucha I 1
que que CS 0.449861
son ser VSIP3P0 0.995197
largas largo AQ0FP00 0.972603
las el DA0FP0 0.988184
noches noche NCFP000 1
de de SP 0.999961
invierno invierno NCMS000 1
, , Fc 1
te te PP2CS00 0.749042
acordás acordás RG 0.990598
de de SP 1
el el DA0MS0 1
pibe pi_be NCFS000 1
de de SP 1
el el DA0MS0 1
almacén almacén NCMS000 1
cómo cómo PT00000 0.997099
lo lo PP3MSA0 0.334764
cantaba cantar VMII3S0 0.65
. . Fp 1

Pucha pucha I 1
que que CS 0.449861
son ser VSIP3P0 0.995197
largas largo AQ0FP00 0.972603
… … Fz 1
Y y NP00000 1
es ser VSIP3S0 1
así así RG 0.999409
, , Fc 1
ñato ñato AQ0MS00 1
. . Fp 1

Más más RG 0.99986
largas largo AQ0FP00 0.972603
que que CS 0.449861
esperanza esperanza NCFS000 0.990148
’ ’ Frc 1
e y CC 0.987994
pobre pobre AQ0CS00 0.893805
. . Fp 1

Fijáte fijáte NP00000 1
que que PR0CN00 0.550139
yo yo PP1CSN0 1
a a SP 0.998775
la el DA0FS0 0.98926
noche noche NCFS000 1
casi casi RG 1
no no RN 0.999297
la lo PP3FSA0 0.010734
conozco conocer VMIP1S0 1
, , Fc 1
y y CC 0.999989
venir venir VMN0000 1
a a SP 0.998775
encontrar encontrar VMN0000 1
la lo PP3FSA0 1
ahora ahora RG 1
… … Fz 1
Siempre siempre NP00000 1
a a SP 0.998775
la el DA0FS0 0.98926
cama cama NCFS000 1
temprano temprano AQ0MS00 0.207547
, , Fc 1
a a SP 0.998775
las el DA0FP0 0.988184
nueve 9 Z 1
o o CC 0.999864
